Bike_ID,Brand,Model_Name,Category,Engine_CC,Max_Power_bhp,Max_Torque_Nm,Top_Speed_kmph,Mileage_kmpl,Price_INR,Country_Origin,Launch_Year,ABS,Fuel_Type,Transmission,Popular_in_India,Description
B0052,Harley-Davidson,Pro 125 X,Cruiser,0,54.4,122.1,125,,4347625,USA,2015,No,Electric,Automatic,No,Comfort-focused road cruiser
B0053,Ampere,S 400,Naked,0,94.3,127.0,117,,654742,India,2019,No,Electric,Automatic,Yes,High-performance sportbike
B0054,Okinawa,SR 1000 X,Adventure,250,31.8,28.6,144,27.7,692819,India,2008,Yes,Petrol,Automatic,Yes,Dual-purpose adventure tourer
B0055,Kawasaki,Turbo 100,Sports,155,36.4,16.5,150,35.6,764651,Japan,2015,No,Petrol,Automatic,No,Entry-level performance machine
B0056,Harley-Davidson,X 400 Pro,Commuter,110,19.1,14.0,105,47.4,243261,USA,2005,Yes,Petrol,Automatic,Yes,Fuel-efficient daily commuter
B0057,Royal Enfield,Classic 300 R,Cruiser,500,52.6,44.8,161,17.6,2113615,India,2023,Yes,Petrol,Automatic,Yes,Comfort-focused road cruiser
B0058,Jawa,F 200 X,Cruiser,750,96.0,61.3,196,16.1,836694,India,2013,No,Petrol,Automatic,Yes,Comfort-focused road cruiser
B0059,Kawasaki,SR 300 X,Commuter,100,14.9,11.4,144,41.8,278704,Japan,2014,Yes,Petrol,Automatic,No,Fuel-efficient daily commuter
B0060,Okinawa,Classic 150,Adventure,390,57.1,43.0,157,24.4,481158,India,2007,No,Petrol,Manual,Yes,Dual-purpose adventure tourer
B0061,Ampere,Thunder 125 R,Cruiser,500,65.1,34.1,204,28.7,873559,India,2015,No,Petrol,Automatic,Yes,Comfort-focused road cruiser
B0062,Bajaj,R 125 R,Classic,750,99.2,78.9,231,12.4,467308,India,2013,No,Petrol,Automatic,Yes,Retro-inspired motorcycle with thumping torque
B0063,BMW,F 250 Pro,Classic,750,61.0,75.9,231,11.9,789375,Germany,2008,No,Petrol,Automatic,Yes,Retro-inspired motorcycle with thumping torque
B0064,Royal Enfield,Turbo 110 R,Cruiser,1200,121.8,110.2,275,12.0,2175817,India,2025,Yes,Petrol,Automatic,Yes,Comfort-focused road cruiser
B0065,Bajaj,S 300 S,Commuter,100,10.6,10.7,115,64.2,184603,India,2017,No,Petrol,Manual,Yes,Fuel-efficient daily commuter
B0066,Ather,R 1000 X,Sports,150,15.7,11.6,101,32.0,536244,India,2022,Yes,Petrol,Manual,Yes,Entry-level performance machine
B0067,Ultraviolette,SR 250 R,Adventure,1200,150.1,78.7,196,10.4,937857,India,2016,Yes,Petrol,Manual,Yes,Dual-purpose adventure tourer
B0068,Okinawa,X 125 S,Adventure,250,30.5,15.8,124,29.5,1137559,India,2021,Yes,Petrol,Manual,Yes,Dual-purpose adventure tourer
B0069,Ampere,X 100 X,Classic,500,34.3,42.8,196,16.1,403412,India,2024,Yes,Petrol,Automatic,Yes,Retro-inspired motorcycle with thumping torque
B0070,Aprilia,Classic 300 Z,Adventure,1200,125.4,95.8,281,12.0,3358560,Italy,2015,Yes,Petrol,Automatic,No,Dual-purpose adventure tourer
B0071,Honda,R 250 X,Classic,411,45.0,28.8,200,16.0,300011,Japan,2023,Yes,Petrol,Manual,No,Retro-inspired motorcycle with thumping torque
B0072,KTM,R 300 S,Cruiser,0,16.9,124.5,66,,1752730,Austria,2020,Yes,Electric,Manual,Yes,Comfort-focused road cruiser
B0073,Yamaha,V 400 R,Sports,1000,129.3,116.0,259,11.1,2301111,Japan,2010,No,Petrol,Manual,Yes,High-performance sportbike
B0074,Ampere,Classic 100 R,Touring,650,76.0,50.0,163,9.1,1676858,India,2014,Yes,Petrol,Automatic,Yes,Long-distance touring motorcycle
B0075,Brahmos,S 400 Pro,Commuter,100,17.1,8.3,105,40.9,165781,India,2011,No,Petrol,Automatic,Yes,Fuel-efficient daily commuter
B0076,Ducati,Thunder 110 S,Sports,600,79.5,68.3,165,10.6,1123334,Italy,2014,Yes,Petrol,Automatic,Yes,High-performance sportbike
B0077,Hero,Thunder 125 R,Adventure,800,69.2,64.6,205,8.9,797689,India,2023,Yes,Petrol,Automatic,Yes,Dual-purpose adventure tourer
B0078,Suzuki,F 300 S,Adventure,250,44.2,16.7,180,32.4,1434172,Japan,2017,No,Petrol,Manual,No,Dual-purpose adventure tourer
B0079,Brahmos,GT 110 Z,Cruiser,350,37.8,44.4,184,25.9,2008854,India,2011,Yes,Petrol,Automatic,Yes,Comfort-focused road cruiser
B0080,Yezdi,F 110 R,Adventure,800,82.5,65.3,232,15.7,1729213,India,2007,Yes,Petrol,Automatic,Yes,Dual-purpose adventure tourer
B0081,Harley-Davidson,V 800 S,Classic,650,80.3,55.9,217,8.5,844070,USA,2019,Yes,Petrol,Automatic,No,Retro-inspired motorcycle with thumping torque
B0082,Royal Enfield,S 500 R,Classic,411,50.1,48.9,197,16.6,766020,India,2006,Yes,Petrol,Manual,Yes,Retro-inspired motorcycle with thumping torque
B0083,Okinawa,Turbo 390 Z,Naked,650,74.9,54.9,212,17.3,787906,India,2008,Yes,Petrol,Automatic,Yes,High-performance sportbike
B0084,KTM,V 200,Naked,900,132.2,79.0,190,10.8,1027178,Austria,2024,No,Hybrid,Manual,No,High-performance sportbike
B0085,TVS,Thunder 500 S,Cruiser,500,63.2,43.5,207,16.4,2017751,India,2010,No,Petrol,Automatic,Yes,Comfort-focused road cruiser
B0086,Ultraviolette,Turbo 150 R,Cruiser,500,41.8,44.7,204,26.6,2390889,India,2024,Yes,Petrol,Automatic,Yes,Comfort-focused road cruiser
B0087,Jawa,GT 125 R,Adventure,1200,101.6,96.3,232,8.6,2101642,India,2022,No,Petrol,Manual,Yes,Dual-purpose adventure tourer
B0088,Okinawa,Turbo 1000 R,Cruiser,750,82.8,60.4,196,17.3,1900265,India,2013,Yes,Petrol,Manual,Yes,Comfort-focused road cruiser
B0089,Royal Enfield,Classic 390 Pro,Naked,900,149.6,87.1,277,6.6,1555920,India,2012,No,Petrol,Manual,Yes,High-performance sportbike
B0090,Kawasaki,X 300 Pro,Touring,1250,106.5,129.7,227,7.2,5472437,Japan,2006,Yes,Petrol,Manual,Yes,Long-distance touring motorcycle
B0091,Harley-Davidson,GT 800,Naked,500,30.2,27.0,172,18.2,924686,USA,2012,Yes,Petrol,Automatic,Yes,High-performance sportbike
B0092,Royal Enfield,F 800 Z,Cruiser,883,148.6,100.0,248,5.2,2065187,India,2005,No,Petrol,Automatic,Yes,Comfort-focused road cruiser
B0093,Triumph,S 300 R,Classic,750,80.9,57.6,227,14.5,1129650,UK,2013,No,Petrol,Automatic,No,Retro-inspired motorcycle with thumping torque
B0094,Yamaha,Classic 150,Commuter,100,16.8,10.0,102,44.1,221517,Japan,2025,No,Petrol,Automatic,Yes,Fuel-efficient daily commuter
B0095,Jawa,Turbo 100 S,Sports,155,25.0,14.7,179,26.2,721882,India,2025,No,Petrol,Manual,Yes,Entry-level performance machine
B0096,Ultraviolette,X 1000,Cruiser,750,92.0,60.3,211,16.9,1515129,India,2021,No,Petrol,Automatic,Yes,Comfort-focused road cruiser
B0097,Ather,Thunder 110 X,Commuter,110,11.9,8.5,142,41.8,177511,India,2019,No,Petrol,Automatic,Yes,Fuel-efficient daily commuter
B0098,Royal Enfield,Classic 400 S,Naked,900,156.4,74.5,261,9.1,1528995,India,2024,Yes,Hybrid,Manual,Yes,High-performance sportbike
B0099,MV Agusta,X 125 Pro,Commuter,110,12.4,10.3,136,31.3,270030,Italy,2021,Yes,Petrol,Manual,No,Fuel-efficient daily commuter
B0100,Brahmos,SR 110 Pro,Naked,900,126.2,124.8,195,7.6,1176567,India,2011,No,Petrol,Automatic,Yes,High-performance sportbike
B0101,Bajaj,R 350 R,Sports,600,63.5,68.9,200,16.0,1022970,India,2025,No,Petrol,Manual,Yes,High-performance sportbike
B0102,Yezdi,Pro 150 Pro,Commuter,110,10.8,11.0,123,52.2,157590,India,2007,Yes,Petrol,Manual,Yes,Fuel-efficient daily commuter
B0103,Ampere,Turbo 390 X,Classic,500,33.0,49.3,149,21.7,643502,India,2018,Yes,Petrol,Manual,Yes,Retro-inspired motorcycle with thumping torque
B0104,Ducati,X 1000 Pro,Touring,650,66.5,77.7,188,12.2,3928102,Italy,2025,No,Petrol,Manual,Yes,Long-distance touring motorcycle
B0105,KTM,F 125 Z,Sports,390,56.3,43.0,183,27.6,1237974,Austria,2025,Yes,Petrol,Automatic,Yes,High-performance sportbike
B0106,BMW,F 100 X,Classic,750,85.7,55.6,191,17.7,679226,Germany,2018,Yes,Petrol,Automatic,No,Retro-inspired motorcycle with thumping torque
B0107,Ultraviolette,GT 250,Cruiser,750,94.4,79.1,176,17.1,1951229,India,2013,No,Petrol,Manual,Yes,Comfort-focused road cruiser
B0108,Kawasaki,R 100 S,Cruiser,0,53.5,91.5,113,,2008778,Japan,2011,No,Electric,Automatic,No,Comfort-focused road cruiser
B0109,Harley-Davidson,Turbo 100 Pro,Commuter,150,19.6,9.3,122,31.9,302977,USA,2022,No,Petrol,Automatic,Yes,Fuel-efficient daily commuter
B0110,Bajaj,V 650 S,Classic,500,46.0,39.3,164,20.4,388075,India,2009,No,Petrol,Manual,Yes,Retro-inspired motorcycle with thumping torque
B0111,Bajaj,Classic 390 S,Classic,350,50.4,37.5,145,15.6,625997,India,2015,Yes,Petrol,Manual,Yes,Retro-inspired motorcycle with thumping torque
B0112,Triumph,Thunder 400,Cruiser,750,80.3,62.8,222,16.5,1801503,UK,2023,Yes,Petrol,Automatic,Yes,Comfort-focused road cruiser
B0113,Aprilia,Turbo 200,Sports,1000,130.5,83.7,186,10.8,1469147,Italy,2012,No,Hybrid,Manual,Yes,High-performance sportbike
B0114,Bajaj,Turbo 250 X,Sports,155,25.1,22.0,159,38.4,1035328,India,2020,Yes,Petrol,Automatic,Yes,Entry-level performance machine
B0115,Ducati,GT 350 Z,Classic,411,57.0,46.7,173,24.2,686880,Italy,2011,No,Petrol,Automatic,No,Retro-inspired motorcycle with thumping torque
B0116,Harley-Davidson,Classic 390,Cruiser,750,82.9,64.0,210,17.8,4645391,USA,2019,Yes,Petrol,Automatic,No,Comfort-focused road cruiser
B0117,Harley-Davidson,Pro 200 Z,Cruiser,750,84.6,65.5,191,8.6,2326304,USA,2008,No,Petrol,Automatic,No,Comfort-focused road cruiser
B0118,Jawa,Pro 125 X,Sports,0,67.3,130.8,120,,620641,India,2014,No,Electric,Automatic,Yes,High-performance sportbike
B0119,TVS,SR 390,Naked,0,80.7,58.6,64,,273568,India,2017,Yes,Electric,Manual,Yes,High-performance sportbike
B0120,Ampere,X 200 Z,Commuter,0,50.6,59.3,102,,78649,India,2021,No,Electric,Manual,Yes,Fuel-efficient daily commuter
B0121,Bajaj,Turbo 500 S,Cruiser,500,43.5,32.4,164,17.6,2188026,India,2017,No,Petrol,Manual,Yes,Comfort-focused road cruiser
B0122,MV Agusta,GT 350 S,Sports,155,29.6,21.1,137,39.1,956103,Italy,2006,No,Petrol,Manual,No,Entry-level performance machine
B0123,Kawasaki,Thunder 500 Z,Cruiser,750,85.5,77.9,207,15.4,2362157,Japan,2022,No,Petrol,Automatic,No,Comfort-focused road cruiser
B0124,KTM,SR 800 R,Commuter,100,14.3,10.2,136,34.5,283938,Austria,2015,Yes,Petrol,Manual,No,Fuel-efficient daily commuter
B0125,Kawasaki,SR 650 Z,Sports,300,32.8,26.9,149,22.6,1043804,Japan,2017,No,Petrol,Manual,Yes,Entry-level performance machine
B0126,Hero,S 110 Pro,Commuter,150,8.8,14.0,104,69.4,125697,India,2016,Yes,Petrol,Automatic,Yes,Fuel-efficient daily commuter
B0127,Honda,Thunder 300 Pro,Classic,750,95.0,49.7,204,9.4,875386,Japan,2014,Yes,Hybrid,Manual,No,Retro-inspired motorcycle with thumping torque
B0128,KTM,Thunder 1000 R,Classic,350,36.2,29.7,154,15.5,1090716,Austria,2011,Yes,Petrol,Manual,Yes,Retro-inspired motorcycle with thumping torque
B0129,Triumph,S 500,Sports,1000,141.8,94.1,209,10.4,1425740,UK,2012,No,Petrol,Automatic,Yes,High-performance sportbike
B0130,Jawa,Pro 150 X,Electric,0,53.2,137.2,67,,1237522,India,2022,Yes,Electric,Automatic,Yes,Electric powertrain with instant torque
B0131,Aprilia,Pro 250,Naked,500,42.0,29.6,208,22.1,950085,Italy,2018,Yes,Petrol,Automatic,No,High-performance sportbike
B0132,Jawa,V 150 S,Classic,750,78.0,58.0,228,16.7,388519,India,2011,Yes,Petrol,Manual,Yes,Retro-inspired motorcycle with thumping torque
B0133,BMW,Pro 150 X,Naked,0,77.5,131.4,102,,995242,Germany,2008,Yes,Electric,Manual,No,High-performance sportbike
B0134,Triumph,Thunder 150 Z,Naked,300,29.5,22.5,142,26.2,1058369,UK,2015,Yes,Petrol,Automatic,No,Entry-level performance machine
B0135,Yamaha,X 400 R,Cruiser,500,52.1,39.6,193,19.4,1401058,Japan,2013,No,Petrol,Automatic,No,Comfort-focused road cruiser
B0136,Harley-Davidson,F 650 X,Electric,0,86.2,134.5,105,,550742,USA,2021,Yes,Electric,Manual,Yes,Electric powertrain with instant torque
B0137,MV Agusta,X 300 R,Sports,1000,94.8,79.1,207,10.1,1443463,Italy,2005,No,Petrol,Automatic,Yes,High-performance sportbike
B0138,KTM,X 390,Classic,411,41.5,37.6,195,27.1,364234,Austria,2016,Yes,Petrol,Automatic,Yes,Retro-inspired motorcycle with thumping torque
B0139,Honda,Thunder 350 Z,Sports,155,25.6,24.9,174,21.6,1779393,Japan,2025,No,Hybrid,Manual,Yes,Entry-level performance machine
B0140,Yezdi,Thunder 500 S,Sports,390,69.0,47.4,145,18.4,1270062,India,2013,Yes,Hybrid,Manual,Yes,High-performance sportbike
B0141,KTM,X 125 S,Adventure,250,34.7,26.0,165,36.4,739873,Austria,2017,No,Hybrid,Automatic,No,Dual-purpose adventure tourer
B0142,Jawa,R 390,Commuter,125,13.2,13.0,121,54.2,244587,India,2025,No,Petrol,Manual,Yes,Fuel-efficient daily commuter
B0143,Ather,Turbo 350 R,Commuter,125,12.5,9.1,137,56.4,187136,India,2007,Yes,Petrol,Manual,Yes,Fuel-efficient daily commuter
B0144,Ather,F 125,Sports,300,22.7,14.1,139,28.9,493539,India,2019,Yes,Petrol,Automatic,Yes,Entry-level performance machine
B0145,KTM,Thunder 110 Pro,Adventure,250,22.3,23.6,140,37.3,487708,Austria,2023,Yes,Petrol,Manual,No,Dual-purpose adventure tourer
B0146,MV Agusta,GT 200 S,Classic,411,32.5,35.9,193,19.5,695582,Italy,2019,No,Petrol,Manual,Yes,Retro-inspired motorcycle with thumping torque
B0147,Ampere,Thunder 250 Z,Sports,300,28.2,19.4,172,36.5,1154928,India,2020,No,Petrol,Manual,Yes,Entry-level performance machine
B0148,Brahmos,Thunder 250 S,Sports,600,79.6,65.2,191,11.9,1023812,India,2023,Yes,Petrol,Manual,Yes,High-performance sportbike
B0149,KTM,Pro 100,Sports,0,35.1,65.3,86,,1285173,Austria,2020,Yes,Electric,Automatic,Yes,High-performance sportbike
B0150,Jawa,Thunder 110 X,Naked,650,76.0,62.7,213,14.5,1053055,India,2012,Yes,Petrol,Manual,Yes,High-performance sportbike
B0151,MV Agusta,GT 500 Z,Naked,125,15.7,11.9,121,68.6,713123,Italy,2016,Yes,Petrol,Automatic,No,Entry-level performance machine
B0152,MV Agusta,Pro 125 S,Adventure,250,27.4,28.7,125,22.3,925014,Italy,2020,No,Petrol,Automatic,Yes,Dual-purpose adventure tourer
B0153,Kawasaki,V 100,Cruiser,350,43.7,27.7,161,28.9,2802000,Japan,2012,No,Petrol,Automatic,No,Comfort-focused road cruiser
B0154,Aprilia,F 500 X,Sports,300,35.4,17.2,157,28.6,381866,Italy,2022,Yes,Petrol,Manual,Yes,Entry-level performance machine
B0155,Brahmos,R 200,Sports,1000,157.6,88.8,229,11.1,1049751,India,2014,No,Petrol,Manual,Yes,High-performance sportbike
B0156,Triumph,F 125 S,Adventure,250,22.9,20.0,129,30.2,2277904,UK,2022,No,Petrol,Manual,Yes,Dual-purpose adventure tourer
B0157,Ampere,Classic 1000 X,Sports,390,44.4,25.2,157,17.9,976487,India,2020,No,Petrol,Automatic,Yes,High-performance sportbike
B0158,Suzuki,Turbo 350 R,Naked,125,17.6,9.3,102,41.0,1105881,Japan,2023,No,Petrol,Manual,Yes,Entry-level performance machine
B0159,KTM,Classic 390 Pro,Commuter,150,19.9,8.6,141,60.1,219673,Austria,2008,Yes,Petrol,Automatic,No,Fuel-efficient daily commuter
B0160,Okinawa,S 650 S,Cruiser,1200,101.6,78.4,206,13.1,2300360,India,2015,No,Petrol,Manual,Yes,Comfort-focused road cruiser
B0161,Ampere,V 1000 Z,Cruiser,350,60.0,35.3,147,29.9,1789924,India,2015,Yes,Petrol,Manual,Yes,Comfort-focused road cruiser
B0162,Okinawa,F 300 X,Commuter,110,11.2,10.5,128,33.0,230887,India,2016,Yes,Petrol,Automatic,Yes,Fuel-efficient daily commuter
B0163,Kawasaki,Classic 400 Pro,Electric,0,84.1,89.5,71,,2051297,Japan,2011,Yes,Electric,Automatic,No,Electric powertrain with instant torque
B0164,Brahmos,Classic 390 Z,Commuter,110,13.8,10.1,143,60.5,95963,India,2008,No,Petrol,Manual,Yes,Fuel-efficient daily commuter
B0165,Yezdi,X 300 R,Classic,0,40.5,48.2,98,,183349,India,2025,No,Electric,Manual,Yes,Retro-inspired motorcycle with thumping torque
B0166,MV Agusta,GT 100 X,Touring,1000,142.9,95.8,191,12.0,843826,Italy,2005,No,Petrol,Manual,No,Long-distance touring motorcycle
B0167,Bajaj,Thunder 650 R,Electric,0,36.1,128.1,89,,873355,India,2008,Yes,Electric,Manual,Yes,Electric powertrain with instant torque
B0168,Jawa,GT 500,Classic,350,52.5,40.3,161,21.6,501530,India,2011,No,Petrol,Automatic,Yes,Retro-inspired motorcycle with thumping torque
B0169,TVS,GT 800 Pro,Touring,1250,120.1,117.5,211,7.8,1313572,India,2014,No,Petrol,Manual,Yes,Long-distance touring motorcycle
B0170,Ultraviolette,Pro 150,Adventure,800,62.2,76.4,190,13.9,789305,India,2016,Yes,Petrol,Manual,Yes,Dual-purpose adventure tourer
B0171,Brahmos,S 300 S,Sports,390,60.5,48.9,149,15.3,274192,India,2021,Yes,Petrol,Automatic,Yes,High-performance sportbike
B0172,Ampere,Pro 800 X,Naked,500,33.3,38.4,159,19.2,554470,India,2017,Yes,Petrol,Automatic,Yes,High-performance sportbike
B0173,BMW,F 500,Naked,125,13.2,13.7,115,32.3,471461,Germany,2010,Yes,Petrol,Automatic,Yes,Entry-level performance machine
B0174,Jawa,GT 350 S,Naked,650,92.9,54.1,207,9.5,978227,India,2018,Yes,Petrol,Automatic,Yes,High-performance sportbike
B0175,Ather,V 650 Z,Adventure,250,32.8,14.9,174,31.3,1060424,India,2021,Yes,Petrol,Manual,Yes,Dual-purpose adventure tourer
B0176,Hero,X 150 Pro,Sports,300,43.0,16.9,174,20.7,1150904,India,2018,No,Petrol,Manual,Yes,Entry-level performance machine
B0177,Brahmos,R 400 S,Cruiser,350,66.1,29.5,206,29.7,1234924,India,2015,No,Petrol,Automatic,Yes,Comfort-focused road cruiser
B0178,TVS,X 250 R,Adventure,650,72.2,66.8,219,12.4,2013213,India,2005,Yes,Petrol,Manual,Yes,Dual-purpose adventure tourer
B0179,Suzuki,Pro 250,Sports,1000,90.7,90.1,277,11.6,2197393,Japan,2020,Yes,Petrol,Automatic,No,High-performance sportbike
B0180,Jawa,R 100 R,Naked,650,95.8,61.0,170,15.0,836763,India,2018,Yes,Petrol,Manual,Yes,High-performance sportbike
B0181,MV Agusta,SR 200 S,Electric,0,61.6,55.5,110,,1165449,Italy,2009,Yes,Electric,Manual,No,Electric powertrain with instant torque
B0182,Yezdi,Classic 300 Pro,Classic,650,90.8,60.8,219,11.2,351642,India,2011,No,Petrol,Manual,Yes,Retro-inspired motorcycle with thumping torque
